airbnbhostid,airbnbpropertyid,city,superhost_period_all,hostresponseaverage_pastyear,available_days,available_days_avelistedprice,booked_days,booked_days_aveprice,listingtype,createddate,zipcode,bedrooms,bathrooms,instantbookenabled,numberofreviews,ratingoverall,revenue,reservations,host_is_superhost_1_0
2947259,6638146,New York,7,98.92857,143,42.034966,32,42.0,Private room,2015-06-01,11213,1,0.0,0,28,89,1344.0,4,0.0
12720679,5940866,Boston,7,100.0,218,75.11468,57,70.4386,Private room,2015-04-07,2128,1,1.0,0,161,97,4015.0,19,1.0
4657744,8549372,New York,10,100.0,8,120.0,0,0.0,Entire home/apt,2015-09-23,11238,0,1.0,0,16,95,0.0,0,0.0
19988125,3870439,Washington,6,98.92857,211,88.90995,39,77.948715,Entire home/apt,2014-08-13,20008,1,1.0,0,58,88,3040.0,11,0.0
76133827,22451053,Chicago,12,99.59375,194,298.26288,14,324.5,Entire home/apt,2017-12-30,60657,4,2.0,0,14,100,4543.0,6,1.0
2164314,13082788,New York,6,100.0,142,103.77465,36,109.72222,Entire home/apt,2016-05-18,11221,1,1.0,0,21,96,3950.0,2,0.0
3181340,8014792,Los Angeles,6,97.28571,215,116.04186000000001,35,130.11428999999998,Entire home/apt,2015-08-21,90068,1,1.0,1,77,97,4554.0,8,1.0
67069129,21853347,New York,11,99.0,189,253.53968999999998,51,257.2157,Entire home/apt,2017-11-21,10027,2,1.0,0,8,100,13118.0,12,1.0
24683929,4788452,New York,10,97.69230999999999,189,82.41799,14,104.92857,Private room,2014-11-21,10035,1,1.0,0,37,95,1469.0,4,1.0
62664257,13561752,New York,12,99.48649,215,570.6047,2,800.0,Entire home/apt,2016-06-16,10003,2,2.0,0,20,95,1600.0,1,1.0
5738733,1042416,New York,7,98.17778,158,106.044304,36,105.27778,Entire home/apt,2013-04-01,11221,2,1.0,0,100,88,3790.0,8,0.0
46632214,8916960,New York,6,95.65,178,145.73596,1,150.0,Entire home/apt,2015-10-14,11215,1,1.0,0,23,95,150.0,1,1.0
32527193,6260442,New York,10,100.0,180,249.6,7,322.0,Entire home/apt,2015-05-02,10023,1,1.0,0,52,98,2254.0,1,1.0
21904647,14340857,Los Angeles,5,96.608696,145,24.455172,45,24.11111,Private room,2016-08-03,90028,1,1.0,1,3,100,1085.0,13,0.0
1410306,13715425,New York,8,98.746666,122,33.221309999999995,0,0.0,Private room,2016-06-26,7307,1,1.0,0,9,93,0.0,0,0.0
77972775,13547280,Chicago,9,100.0,10,130.0,0,0.0,Entire home/apt,2016-06-15,60622,1,1.0,1,31,97,0.0,0,1.0
6354565,2154736,New York,11,95.333336,224,88.08482,63,83.2381,Private room,2014-01-02,11211,1,1.0,1,180,95,5244.0,13,1.0
23610943,5020383,Washington,6,94.888885,213,152.6291,51,156.07843,Entire home/apt,2015-01-01,20001,1,1.0,1,155,87,7960.0,14,0.0
69984222,13110023,Houston,9,97.91358000000001,158,102.601265,10,100.0,Entire home/apt,2016-05-20,77030,2,2.0,0,5,84,1000.0,2,0.0
104122404,17014341,New York,10,96.25,195,73.8,15,87.2,Entire home/apt,2017-01-28,11203,0,1.0,0,50,93,1308.0,6,0.0
48576700,12218076,New York,5,94.04762,113,211.06195,9,183.77777,Entire home/apt,2016-04-02,11205,2,1.0,0,12,84,1654.0,3,0.0
86559,4955112,Philadelphia,11,100.0,206,144.09224,51,228.39215,Entire home/apt,2014-12-19,19147,2,1.0,1,91,98,11648.0,11,1.0
2916960,739934,Philadelphia,9,100.0,105,97.25714,28,102.96429,Entire home/apt,2012-10-13,19125,1,1.0,0,53,95,2883.0,9,1.0
3140358,7145758,Philadelphia,5,95.666664,98,69.13265,25,72.4,Private room,2015-07-02,19144,1,1.0,1,12,95,1810.0,7,0.0
13319035,4842628,Los Angeles,6,100.0,220,108.13636000000001,57,109.03509,Entire home/apt,2014-11-29,90036,1,1.0,0,62,97,6215.0,6,1.0
56158044,10843988,New York,10,92.75,238,201.61765,4,250.0,Entire home/apt,2016-01-24,10029,2,1.0,0,42,90,1000.0,3,0.0
10971751,7632357,New York,9,98.6,26,118.34615,0,0.0,Entire home/apt,2015-07-27,11217,1,1.0,0,10,100,0.0,0,1.0
1264321,3455895,Philadelphia,10,100.0,197,164.84771999999998,6,175.0,Entire home/apt,2014-07-01,19102,2,1.0,0,80,99,1050.0,1,1.0
45096256,16577971,Houston,8,100.0,180,31.48889,37,30.459459999999996,Private room,2016-12-30,77073,1,1.0,0,43,99,1127.0,16,1.0
79709094,23648180,Dallas,11,100.0,114,93.22807,12,90.0,Entire home/apt,2018-03-07,75204,1,1.0,0,1,100,1080.0,2,1.0
23534059,4705195,New York,11,100.0,60,47.833332,14,43.357143,Private room,2014-11-10,11226,1,1.0,0,87,96,607.0,3,1.0
39285860,10770191,New York,5,98.92857,214,66.915886,33,69.121216,Private room,2016-01-21,10027,1,1.0,0,3,100,2281.0,5,0.0
4909389,12851094,Philadelphia,11,93.895836,166,30.777109999999997,19,29.0,Private room,2016-05-03,19125,1,1.0,0,86,96,551.0,5,1.0
50669229,9839886,Miami,6,98.05,152,45.855263,34,46.411766,Private room,2015-12-05,33129,1,1.0,0,33,99,1578.0,12,1.0
13730809,20493318,New York,12,100.0,147,76.85034,0,0.0,Private room,2017-08-16,11207,1,1.0,0,11,96,0.0,0,1.0
2195782,441860,New York,10,99.38461,215,66.05116,34,81.14706,Private room,2012-04-21,11206,1,2.0,1,174,88,2759.0,8,0.0
2861854,12829824,New York,6,100.0,13,180.0,0,0.0,Entire home/apt,2016-05-02,11692,3,1.0,0,4,100,0.0,0,1.0
83582245,17774954,New York,9,100.0,200,60.68,58,69.586205,Private room,2017-03-16,11102,1,2.0,1,34,96,4036.0,14,0.0
27081337,17634614,Chicago,10,100.0,202,209.98515,18,156.38889,Entire home/apt,2017-03-07,60657,3,2.5,0,30,99,2815.0,6,1.0
5425676,13020571,Los Angeles,6,90.76786,156,82.448715,39,84.25641,Entire home/apt,2016-05-14,90026,1,1.0,0,1,100,3286.0,6,0.0
